カメラ名,メーカー名,発売年,Wikipedia_URL,統合処理日,年度タグ,重複チェックメモ,センサー種別,解像度,重量,発売年月,ISO感度,連写性能,価格
Olympus E-520,Olympus,2008,https://en.wikipedia.org/wiki/Olympus_E-520,2025-08-27T22:49:32.631354,2008,,,,,,,,
Olympus FE-310,Olympus,2008,https://en.wikipedia.org/wiki/Olympus_FE-310,2025-08-27T22:49:32.631356,2008,,,,,,,,
Olympus FE-340,Olympus,2008,https://en.wikipedia.org/wiki/Olympus_FE-340,2025-08-27T22:49:32.631358,2008,,,,,,,,
Olympus μ 1030 SW,Olympus,2008,https://en.wikipedia.org/wiki/Olympus_μ_1030_SW,2025-08-27T22:49:32.631363,2008,,,,,,,,
Panasonic Lumix DMC-FS3,Panasonic,2008,https://en.wikipedia.org/wiki/Panasonic_Lumix_DMC-FS3,2025-08-27T22:49:32.631366,2008,,[[Charge-coupled device|CCD]],3264 × 2448 (8 megapixels),158g including battery,2008,ISO 100 to 6400 <ref name=snapsort>[http://snapsort.com/cameras/Panasonic/Lumix_DMC-FS3?q=Panasonic%20Lumix%20DMC-FS3&ts=1594688901434 DMC-FS3 specification sheet on SnapSort]</ref>,,
Panasonic Lumix DMC-FS5,Panasonic,2008,https://en.wikipedia.org/wiki/Panasonic_Lumix_DMC-FS5,2025-08-27T22:49:32.631368,2008,,[[Charge-coupled device|CCD]],3648 × 2736 (10 megapixels),159g including battery,2008 <!-- Release date -->,,,
Panasonic Lumix DMC-TZ4,Panasonic,2008,https://en.wikipedia.org/wiki/Panasonic_Lumix_DMC-TZ4,2025-08-27T22:49:32.631370,2008,,,,,,,,
Pentax K20D,Pentax,2008,https://en.wikipedia.org/wiki/Pentax_K20D,2025-08-27T22:49:32.631373,2008,,[[CMOS]] [[active pixel sensor]] with a primary color filter,14.6&nbsp;[[megapixels]],"{{convert|715|g|oz|abbr=on}} without battery, {{convert|790|g|oz|abbr=on}} with battery",,"[[Film speed|ISO]] Auto, 100, 200, 400, 800, 1600, 3200, boosted: 6400",,
Pentax K200D,Pentax,2008,https://en.wikipedia.org/wiki/Pentax_K200D,2025-08-27T22:49:32.631375,2008,,[[Charge-coupled device|CCD]] image sensor with a primary color filter,"3,872 × 2,592 (10.2 [[megapixels]])",630 g (22.2 oz) without battery,,"ISO Auto, 100, 200, 400, 800, 1600",,
Pentax K2000,Pentax,2008,https://en.wikipedia.org/wiki/Pentax_K2000,2025-08-27T22:49:32.631377,2008,,[[Charge-coupled device|CCD]] image sensor with a primary color filter,10.2&nbsp;[[megapixels]],{{convert|525|g|oz|abbr=on}} without battery,,"ISO Auto, ISO 100-3200 in 1 EV steps",,
Pentax Optio E60,Pentax,2008,https://en.wikipedia.org/wiki/Pentax_Optio_E60,2025-08-27T22:49:32.631379,2008,,CCD,3648 x 2736 (10 megapixels),175g including battery,<!-- Release date -->,,,
Sony Alpha 900,Sony,2008,https://en.wikipedia.org/wiki/Sony_Alpha_900,2025-08-27T22:49:32.631382,2008,,,,,,,,
Canon EOS 7D,Canon,2009,https://en.wikipedia.org/wiki/Canon_EOS_7D,2025-08-27T22:49:33.156101,2009,,,,,,,,
Canon EOS 500D,Canon,2009,https://en.wikipedia.org/wiki/Canon_EOS_500D,2025-08-27T22:49:33.156119,2009,,,,,,,,
Canon EOS-1D Mark IV,Canon,2009,https://en.wikipedia.org/wiki/Canon_EOS-1D_Mark_IV,2025-08-27T22:49:33.156122,2009,,"27.9mm × 18.6mm (1.3x conversion factor); [[CMOS]], [[APS-H]] Format (16.1 [[Effective pixels|effective]] [[megapixels]])",4896 × 3264 (16.0 recorded megapixels),1180&nbsp;g,December 2009<ref>{{cite web |url=http://global.canon/en/c-museum/product/dslr803.html |title=EOS-1D Mark IV |website=Canon Camera Museum}}</ref>,,,US$4999.00
Canon PowerShot D,Canon,2009,https://en.wikipedia.org/wiki/Canon_PowerShot_D,2025-08-27T22:49:33.156125,2009,,,,,,,,
Fujifilm FinePix S1500,Fujifilm,2009,https://en.wikipedia.org/wiki/Fujifilm_FinePix_S1500,2025-08-27T22:49:33.156127,2009,,,,,,,,
Fujifilm FinePix Z33WP,Fujifilm,2009,https://en.wikipedia.org/wiki/Fujifilm_FinePix_Z33WP,2025-08-27T22:49:33.156130,2009,,,,,,,,
Kodak Zi8,Kodak,2009,https://en.wikipedia.org/wiki/Kodak_Zi8,2025-08-27T22:49:33.156132,2009,,,,,,,,
Leica M9,Leica,2009,https://en.wikipedia.org/wiki/Leica_M9,2025-08-27T22:49:33.156135,2009,,[[CCD sensor|CCD]],18.5 [[Megapixels]](RAW Color Depth:12bits),{{Convert|585|g|abbr=on}} with battery (M9) <br /> {{Convert|600|g|abbr=on}}  with battery (M9-P),,80 to 2500,,
Nikon Coolpix P90,Nikon,2009,https://en.wikipedia.org/wiki/Nikon_Coolpix_P90,2025-08-27T22:49:33.156138,2009,,,,,,,,
Nikon Coolpix S1000pj,Nikon,2009,https://en.wikipedia.org/wiki/Nikon_Coolpix_S1000pj,2025-08-27T22:49:33.156140,2009,,1/2.3 in. [[Charge-coupled device|CCD]],4000 × 3000 pixels (12.1 [[megapixel]]s),{{convert|155|g|oz|abbr=on}},,"80, 100, 200, 400, 800, 1600, (3200, 6400 at reduced resolution)",,
Nikon D3S,Nikon,2009,https://en.wikipedia.org/wiki/Nikon_D3S,2025-08-27T22:49:33.156142,2009,,"36.0&nbsp;mm&nbsp;×&nbsp;23.9&nbsp;mm [[CMOS]], Nikon FX format{{!}}DX format","12.1 effective megapixels (4,256 × 2,832 pixels)",{{convert|1240|g|lb|abbr=on}},14 October 2009,"ISO equivalency 200 to 12800 in 1/3, 1/2 or 1.0 EV steps, Boost: 100–102400 in 1/3, 1/2 or 1.0 EV steps",,
Nikon D3000,Nikon,2009,https://en.wikipedia.org/wiki/Nikon_D3000,2025-08-27T22:49:33.156144,2009,,"23.6&nbsp;mm × 15.8&nbsp;mm [[Nikon DX format]] RGB [[Charge-coupled device|CCD sensor]], 1.5 × [[Image sensor format|FOV crop]]","3,872 × 2,592 (10.2 effective megapixels)","Approx. {{convert|485|g|lb|abbr=on}} without battery, memory card or body cap",,"100–1600 in 1/3 EV steps, up to 3200 as high-boost",,
Nikon D5000,Nikon,2009,https://en.wikipedia.org/wiki/Nikon_D5000,2025-08-27T22:49:33.156147,2009,,"23.6 × 15.8&nbsp;mm [[Nikon DX format]] RGB [[CMOS sensor]], 1.5 × [[Image sensor format|FOV crop]]","4,288 × 2,848 (12.3 effective megapixels)","Approx. {{convert|560|g|lboz|abbr=on}} without battery, memory card or body cap",,"200–3200 in 1/3 EV steps, up to 6400 as high-boost, as low as 100 low-boost",,$729.95
Olympus E-450,Olympus,2009,https://en.wikipedia.org/wiki/Olympus_E-450,2025-08-27T22:49:33.156149,2009,,18.00&nbsp;mm × 13.50&nbsp;mm [[Live MOS]],3648 × 2736 (10 [[megapixels]]),"{{convert|380|g|lb|abbr=on|disp=or}} (body only, no battery)",,100–1600,,
Olympus E-620,Olympus,2009,https://en.wikipedia.org/wiki/Olympus_E-620,2025-08-27T22:49:33.156151,2009,,[[Live MOS]] [[Four Thirds]] 17.3&nbsp;mm × 13.0&nbsp;mm (2× [[crop factor]]),12.3 million effective,"{{convert|475|g|lb|abbr=on}}, body only",,ISO 100 to 3200,,
Olympus PEN E-P1,Olympus,2009,https://en.wikipedia.org/wiki/Olympus_PEN_E-P1,2025-08-27T22:49:33.156153,2009,,[[Four Thirds System]] 18.00×13.50&nbsp;mm [[Live MOS]],4032×3024 (12.3 [[megapixels]]),335&nbsp;g (11.8 ounces),,,,$899.99
Olympus PEN E-P2,Olympus,2009,https://en.wikipedia.org/wiki/Olympus_PEN_E-P2,2025-08-27T22:49:33.156155,2009,,[[Four Thirds System]] 18×13.50&nbsp;mm [[Live MOS]],4032×3024 (12.3 [[megapixels]]),335&nbsp;g (11.8 ounces),,,,$1199.99 |
Pentax K-7,Pentax,2009,https://en.wikipedia.org/wiki/Pentax_K-7,2025-08-27T22:49:33.156157,2009,,[[APS-C]] (1.54×) [[CMOS]] [[active pixel sensor]] with a primary color filter,14.6&nbsp;megapixels,"670&nbsp;[[gram|g]] (body only), 750&nbsp;g (with battery)",,"ISO Auto, 100, 200, 400, 800, 1600, 3200, boosted: 6400",,
Pentax K-x,Pentax,2009,https://en.wikipedia.org/wiki/Pentax_K-x,2025-08-27T22:49:33.156159,2009,,23.6 × 15.8 mm [[CMOS image sensor]] with a primary color filter,12.4&nbsp;[[megapixels]],{{convert|515|g|oz|abbr=on}} without battery,,"ISO Auto, 200, 400, 800, 1600, 3200, 6400 (100, 12800 with expansion)",,
Ricoh CX1,Ricoh,2009,https://en.wikipedia.org/wiki/Ricoh_CX1,2025-08-27T22:49:33.156161,2009,,,,,,,,
Sigma DP1s,Sigma,2009,https://en.wikipedia.org/wiki/Sigma_DP1s,2025-08-27T22:49:33.156163,2009,,Foveon X3 (CMOS),"2652 × 1768 × 3 (14.1 million [[effective pixels]], 4.69 megapixel output image size)",270g including battery,<!-- Release date -->,100-800,,
Arri Alexa,Arri,2010,https://en.wikipedia.org/wiki/Arri_Alexa,2025-08-27T22:49:33.681066,2010,,,,,,,,
Canon EOS 60D,Canon,2010,https://en.wikipedia.org/wiki/Canon_EOS_60D,2025-08-27T22:49:33.681084,2010,,,,,,,,
Canon EOS 550D,Canon,2010,https://en.wikipedia.org/wiki/Canon_EOS_550D,2025-08-27T22:49:33.681088,2010,,[[CMOS]] [[APS-C]] 22.3 × 14.9&nbsp;mm (1.6x conversion factor),"5,184 × 3,456 pixels (18.0 [[megapixels]])",{{convert|530|g|abbr=on}} (including battery and card),8 February 2010,"ISO 100 to 6400 (expandable to 12800 with Canon Firmware, expandable to 24000 with Magic Lantern firmware)",,
Fujifilm FinePix HS10,Fujifilm,2010,https://en.wikipedia.org/wiki/Fujifilm_FinePix_HS10,2025-08-27T22:49:33.681091,2010,,[[Back-illuminated sensor|BSI]]-[[active pixel sensor|CMOS]] – IR sensitive so there is a possibility to take infrared pictures (additional filter necessary),"3,648 × 2,736 (9.98&nbsp;MP)",{{convert|636|g|lb|abbr=on}},,[[film speed|ISO]] 100 to 6400,,
Fujifilm FinePix S1600,Fujifilm,2010,https://en.wikipedia.org/wiki/Fujifilm_FinePix_S1600,2025-08-27T22:49:33.681093,2010,,[[Charge-coupled device|CCD]],<!-- Maximum image resolution -->,"337g (approx) (by itself)<ref name=""official""/>",2010,<!-- Film speed -->,,"[[USD|$]]199.99<ref name=""review1""/>"
Fujifilm FinePix S1800,Fujifilm,2010,https://en.wikipedia.org/wiki/Fujifilm_FinePix_S1800,2025-08-27T22:49:33.681096,2010,,"[[Charge-coupled device|CCD]], [[Image sensor format|1/2.3""]] CCD",4000 × 3000 (12 megapixels),Approx. {{convert|337|g|oz|abbr=on}} (excluding accessories and batteries etc.),,,,
NHK Twinscam,NHK,2010,https://en.wikipedia.org/wiki/NHK_Twinscam,2025-08-27T22:49:33.681098,2010,,,,,,,,
Nikon Coolpix P7000,Nikon,2010,https://en.wikipedia.org/wiki/Nikon_Coolpix_P7000,2025-08-27T22:49:33.681101,2010,,[[Charge-coupled device|CCD]],10.1 million pixels<br /> 3648 × 2736,,,100–6400,,
Nikon D3100,Nikon,2010,https://en.wikipedia.org/wiki/Nikon_D3100,2025-08-27T22:49:33.681104,2010,,"23.1&nbsp;mm × 15.4&nbsp;mm [[Nikon DX format]] RGB [[CMOS sensor]], 1.5 × [[Image sensor format|FOV crop]], 4.94&nbsp;μm pixel size","4,608 × 3,072 (14.2 effective megapixels)","Approx. {{convert|455|g|lb|abbr=on}} without battery, memory card or body cap",,"100–3200 in 1/3 EV steps, up to 12800 as boost",,
Nikon D7000,Nikon,2010,https://en.wikipedia.org/wiki/Nikon_D7000,2025-08-27T22:49:33.681106,2010,,"23.6&nbsp;mm × 15.6&nbsp;mm [[Nikon DX format]] RGB [[CMOS sensor]], 1.5 × [[Image sensor format|FOV crop]], 4.78&nbsp;μm pixel size","4,928 × 3,264 (16.2 effective megapixels)","Approx. {{convert|690|g|lb|abbr=on}} without battery, {{convert|780|g|lb|abbr=on}} with battery",15 September 2010,"ISO 100–6400 in 1/3 EV steps, up to 25600 with Hi (boost) menu item",,
Olympus E-5,Olympus,2010,https://en.wikipedia.org/wiki/Olympus_E-5,2025-08-27T22:49:33.681108,2010,,[[Four Thirds]] 17.3 mm x 13.0 mm [[Live MOS]],4032 x 3024 pixels (12.3 [[megapixels]]),,,,,
Olympus PEN E-PL1,Olympus,2010,https://en.wikipedia.org/wiki/Olympus_PEN_E-PL1,2025-08-27T22:49:33.681110,2010,,[[Four Thirds system]] 17.3 × 13.0&nbsp;mm [[Live MOS]],4032×3024 (12.3 [[megapixels]]),{{convert|334|g|lb|abbr=on}},,,,
Pentax 645D,Pentax,2010,https://en.wikipedia.org/wiki/Pentax_645D,2025-08-27T22:49:33.681112,2010,,CCD,7264 x 5440 (40 megapixels),1480g including battery,<!-- Release date -->,100 to 1600,,
Pentax K-5,Pentax,2010,https://en.wikipedia.org/wiki/Pentax_K-5,2025-08-27T22:49:33.681115,2010,,IMX071,16.3 megapixels (4928×3264),With battery: {{convert|750|g|lb|abbr=on}}<br />Without battery: {{convert|670|g|lb|abbr=on}},,"[[ISO]] 100–12,800 in 1, 1/2, or 1/3&nbsp;EV steps; expandable to [[ISO]] 80–51,200",,
Pentax K-r,Pentax,2010,https://en.wikipedia.org/wiki/Pentax_K-r,2025-08-27T22:49:33.681117,2010,,23.6 x 15.8 mm [[APS-C]] [[CMOS image sensor]] with a primary color filter,12.4&nbsp;[[megapixels]],{{convert|595|g|oz|abbr=on}} with battery,,"Auto: 200–12800 (1, 1/2, 1/3 EV steps), up to 1600 in Bulb, expand to 100–25600 Manual: 200–12800 (1, 1/2, 1/3 EV steps), up to 1600 in Bulb, expand to 100–25600",,
Pentax Optio H90,Pentax,2010,https://en.wikipedia.org/wiki/Pentax_Optio_H90,2025-08-27T22:49:33.681119,2010,,CCD,4000 x 3000 (12 megapixels),153g including battery,<!-- Release date -->,,,
Pentax Optio I-10,Pentax,2010,https://en.wikipedia.org/wiki/Pentax_Optio_I-10,2025-08-27T22:49:33.681121,2010,,CCD,4000 x 3000 (12 megapixels),153g including battery,<!-- Release date -->,,,
Pentax X90,Pentax,2010,https://en.wikipedia.org/wiki/Pentax_X90,2025-08-27T22:49:33.681124,2010,,CCD,4000 x 3000 (12 megapixels),428g including battery,<!-- Release date -->,,,
Ricoh G700,Ricoh,2010,https://en.wikipedia.org/wiki/Ricoh_G700,2025-08-27T22:49:33.681126,2010,,CCD,4000 x 3000 (12 megapixels),307g including battery,<!-- Release date -->,64-3200,,
Samsung EX1,Samsung,2010,https://en.wikipedia.org/wiki/Samsung_EX1,2025-08-27T22:49:33.681128,2010,,,,,,,,
Samsung NX5,Samsung,2010,https://en.wikipedia.org/wiki/Samsung_NX5,2025-08-27T22:49:33.681130,2010,,CMOS,4592 x 3056 (15 megapixels),499g including battery,<!-- Release date -->,,,
Samsung NX10,Samsung,2010,https://en.wikipedia.org/wiki/Samsung_NX10,2025-08-27T22:49:33.681132,2010,,"23.4&nbsp;mm × 15.6&nbsp;mm; [[CMOS]], [[APS-C]] Format (14.6 [[Effective pixels|effective]] [[megapixels]])<br>[[Crop factor|<math>C_f</math>]]=1,54",4592 × 3056 (14.0 recorded megapixels),"353&nbsp;[[Gram|g]] (body only, no battery or card)",,,,
Samsung NX11,Samsung,2010,https://en.wikipedia.org/wiki/Samsung_NX11,2025-08-27T22:49:33.681134,2010,,CMOS,4592 x 3056 (15 megapixels),499g including battery,<!-- Release date -->,,,
Samsung NX100,Samsung,2010,https://en.wikipedia.org/wiki/Samsung_NX100,2025-08-27T22:49:33.681136,2010,,"23.4&nbsp;mm × 15.6&nbsp;mm; [[CMOS]], [[APS-C]] Format (14.6 [[Effective pixels|effective]] [[megapixels]])<br>[[Crop factor|<math>C_f</math>]]=1,54",4592 × 3056 (14.0 recorded megapixels),"282&nbsp;[[Gram|g]] (body only, no battery or card)",,,,
Sigma DP1x,Sigma,2010,https://en.wikipedia.org/wiki/Sigma_DP1x,2025-08-27T22:49:33.681139,2010,,Foveon X3 (CMOS),"2652 × 1768 × 3 (14.1 million [[effective pixels]], 4.69 megapixel output image size)",250g including battery,<!-- Release date -->,ISO 100-3200,,$800 MSRP
Sigma SD15,Sigma,2010,https://en.wikipedia.org/wiki/Sigma_SD15,2025-08-27T22:49:33.681141,2010,,,,,,,,
Sony Alpha 33,Sony,2010,https://en.wikipedia.org/wiki/Sony_Alpha_33,2025-08-27T22:49:33.681143,2010,,CMOS,4592 x 3056 (14 megapixels),500g including battery,<!-- Release date -->,100-25600,,
Sony Alpha 55,Sony,2010,https://en.wikipedia.org/wiki/Sony_Alpha_55,2025-08-27T22:49:33.681145,2010,,APS-C [[CMOS]] Sensor,16.2 [[megapixel]]s,{{convert|441|g|abbr=on}},,"[[Film speed|ISO]] equivalency 100 to 12,800 in 1.0&nbsp;EV steps, boost to 25,600 in Multi-Frame Noise Reduction mode",,
Sony Cyber-shot DSC-TX5,Sony,2010,https://en.wikipedia.org/wiki/Sony_Cyber-shot_DSC-TX5,2025-08-27T22:49:33.681148,2010,,Exmor R CMOS Sensor,,,,,,
Sony NEX,Sony,2010,https://en.wikipedia.org/wiki/Sony_NEX,2025-08-27T22:49:33.681150,2010,,,,,,,,
Canon EOS 600D,Canon,2011,https://en.wikipedia.org/wiki/Canon_EOS_600D,2025-08-27T22:49:34.216958,2011,,,,,,,,
Canon EOS 1100D,Canon,2011,https://en.wikipedia.org/wiki/Canon_EOS_1100D,2025-08-27T22:49:34.217022,2011,,,,,,,,
Canon IXUS 115 HS,Canon,2011,https://en.wikipedia.org/wiki/Canon_IXUS_115_HS,2025-08-27T22:49:34.217027,2011,,,,,,,,
Fujifilm FinePix HS20EXR,Fujifilm,2011,https://en.wikipedia.org/wiki/Fujifilm_FinePix_HS20EXR,2025-08-27T22:49:34.217030,2011,,EXR CMOS,4608 x 3456 (16 megapixels),730g including battery,<!-- Release date -->,100-12800,,
Fujifilm X-S1,Fujifilm,2011,https://en.wikipedia.org/wiki/Fujifilm_X-S1,2025-08-27T22:49:34.217033,2011,,[[EXR color filter array]] [[CMOS]],4000x3000 (12 [[megapixels]]),{{convert|920|g|lb|abbr=on}},,ISO 100–3200 (12800 with boost),,
Fujifilm X10,Fujifilm,2011,https://en.wikipedia.org/wiki/Fujifilm_X10,2025-08-27T22:49:34.217035,2011,,[[EXR color filter array|EXRCMOS]],4000 x 3000 (12&nbsp;megapixels),350g including battery,<!-- Release date -->,100-12800,,
Nikon 1 J1,Nikon,2011,https://en.wikipedia.org/wiki/Nikon_1_J1,2025-08-27T22:49:34.217037,2011,,CMOS,10.1 megapixels,{{convert|234|g|lb|abbr=on}},,,,
Nikon 1 series,Nikon,2011,https://en.wikipedia.org/wiki/Nikon_1_series,2025-08-27T22:49:34.217040,2011,,,,,,,,
Nikon Coolpix P7100,Nikon,2011,https://en.wikipedia.org/wiki/Nikon_Coolpix_P7100,2025-08-27T22:49:34.217042,2011,,CCD,3648 x 2736 (10 megapixels),395g including battery,<!-- Release date -->,100-3200 (6400 expanded),,
Nikon Coolpix S2500,Nikon,2011,https://en.wikipedia.org/wiki/Nikon_Coolpix_S2500,2025-08-27T22:49:34.217045,2011,,,,Approx. {{convert|117|g|abbr=on}} (with battery and SD memory card),,,,
Nikon Coolpix S3100,Nikon,2011,https://en.wikipedia.org/wiki/Nikon_Coolpix_S3100,2025-08-27T22:49:34.217047,2011,,,14.48 million pixels (Approx.),Approx. {{convert|118|g|abbr=on}} (with battery and memory card),,,,
Nikon D5100,Nikon,2011,https://en.wikipedia.org/wiki/Nikon_D5100,2025-08-27T22:49:34.217049,2011,,[[Active pixel sensor]],"4,928 × 3,264 (16.2 effective megapixels)",Approx. 510 g (1 lb. 2 oz.) body only,"April 5, 2011","100–6400 in 1/3 EV steps, up to 25600 as high-boost. With Night-vision up to ISO 102400 equivalent.",,
Olympus PEN E-P3,Olympus,2011,https://en.wikipedia.org/wiki/Olympus_PEN_E-P3,2025-08-27T22:49:34.217051,2011,,[[Four Thirds System]] 18.00 × 13.50&nbsp;mm (17.30 × 13.00&nbsp;mm imaging area) [[Live MOS]],4032×3024 (12.3 [[megapixels]]),"{{convert|321|g|oz|abbr=on}} (body only) {{convert|369|g|oz|abbr=on}} (body, battery and SD memory card)",,ISO 200–12800,,
Olympus PEN E-PL2,Olympus,2011,https://en.wikipedia.org/wiki/Olympus_PEN_E-PL2,2025-08-27T22:49:34.217053,2011,,[[Four Thirds System]] 18.00 × 13.50&nbsp;mm [[Live MOS]],4032×3024 (12.3 [[megapixels]]),{{convert|335|g|lb|abbr=on}} body only,,,,
Olympus PEN E-PL3,Olympus,2011,https://en.wikipedia.org/wiki/Olympus_PEN_E-PL3,2025-08-27T22:49:34.217056,2011,,[[Four Thirds System]] 17.30 × 13.00&nbsp;mm [[Live MOS]],"4032×3024 (12.19 [[megapixels]])<ref name=""Wikidata"">{{Cite Q|Q7089244}}</ref><ref name=""ImagingResource"">{{cite web |url=https://www.imaging-resource.com/PRODS/EPL3/EPL3A.HTM |title=Olympus E-PL3 Review |website=Imaging Resource |author=Mike Tomkins |date=2011-06-30 |archive-url=https://web.archive.org/web/20250215015229/https://www.imaging-resource.com/PRODS/EPL3/EPL3A.HTM |archive-date=2025-02-15 |url-status=live}}</ref>","{{convert|265|g|oz|abbr=on}} (body only) {{convert|313|g|oz|abbr=on}} (body, battery and SD memory card)",,ISO 200–12800,,
Olympus PEN E-PM1,Olympus,2011,https://en.wikipedia.org/wiki/Olympus_PEN_E-PM1,2025-08-27T22:49:34.217058,2011,,CMOS,4032 x 3024 (12 megapixels),265g including battery,<!-- Release date -->,,,
Olympus VR-310,Olympus,2011,https://en.wikipedia.org/wiki/Olympus_VR-310,2025-08-27T22:49:34.217060,2011,,,14 million pixels,,{{start date|2011}},,,
Olympus XZ-1,Olympus,2011,https://en.wikipedia.org/wiki/Olympus_XZ-1,2025-08-27T22:49:34.217063,2011,,,,,,,,
Pentax Q,Pentax,2011,https://en.wikipedia.org/wiki/Pentax_Q,2025-08-27T22:49:34.217065,2011,,[[Back-illuminated sensor|BSI]]-CMOS sensor,"4:3 native: 4000 x 3000, 3456x2592, 2688x2016, 1920x1440",180 g (0.40 lb / 6.35 oz),,"125-6400 (Q, Q10), 100-12800 (Q7, Q-S1)",,
Samsung NX200,Samsung,2011,https://en.wikipedia.org/wiki/Samsung_NX200,2025-08-27T22:49:34.217068,2011,,"23.4&nbsp;mm × 15.6&nbsp;mm; [[CMOS]], [[APS-C]] Format (20.3 [[Effective pixels|effective]] [[megapixels]])<br>[[Crop factor|<math>C_f</math>]]=1,54",5472 × 3648 (20 recorded megapixels),"220.4&nbsp;[[Gram|g]] (body only, no battery or card)",,,,
Sigma DP2x,Sigma,2011,https://en.wikipedia.org/wiki/Sigma_DP2x,2025-08-27T22:49:34.217070,2011,,Foveon X3 (CMOS),"2652 × 1768 × 3 (14.1 million [[effective pixels]], 4.69 megapixel output image size)",280g including battery,<!-- Release date -->,100-3200,,
Sony Alpha 65,Sony,2011,https://en.wikipedia.org/wiki/Sony_Alpha_65,2025-08-27T22:49:34.217072,2011,,,,,,,,
Sony Alpha 77,Sony,2011,https://en.wikipedia.org/wiki/Sony_Alpha_77,2025-08-27T22:49:34.217074,2011,,,,,,,,
Sony NEX-C3,Sony,2011,https://en.wikipedia.org/wiki/Sony_NEX-C3,2025-08-27T22:49:34.217077,2011,,CMOS,16.2 megapixels,"7.94&nbsp;oz, 225g (camera body only, no card or battery)",,,,
Canon EOS 5D Mark III,Canon,2012,https://en.wikipedia.org/wiki/Canon_EOS_5D_Mark_III,2025-08-27T22:49:34.745079,2012,,[[CMOS]],5760&nbsp;× 3840 (22.3 effective [[megapixels]]),,,,,
Canon EOS 6D,Canon,2012,https://en.wikipedia.org/wiki/Canon_EOS_6D,2025-08-27T22:49:34.745097,2012,,[[Full-frame digital SLR|35.8&nbsp;mm × 23.9&nbsp;mm]] [[CMOS]]|,"5,472 × 3,648<ref>{{cite web|url=https://www.usa.canon.com/internet/portal/us/home/products/details/cameras/dslr/eos-6d#Specifications|date=2014-10-13|access-date=2017-05-09|title=EOS 6D Specifications|archive-date=11 August 2016|archive-url=https://web.archive.org/web/20160811045447/https://www.usa.canon.com/internet/portal/us/home/products/details/cameras/dslr/eos-6d#Specifications|url-status=dead}}</ref> <br>(20 effective [[megapixels]])","{{cvt|680|g|oz}}, body only; {{cvt|755|g|oz}}, [[Camera & Imaging Products Association|CIPA]] standard",,"100&nbsp;–&nbsp;25,600 (expansion to L1&nbsp;50 / H1&nbsp;51.200 / H2&nbsp;102,400)",,"{{dollarsign|USD|1899|lk=on}}<ref name=""msrp"">{{cite web |url=https://www.usa.canon.com/internet/portal/us/home/products/details/cameras/dslr/eos-6d |title=Canon EOS 6D Camera - Canon U.S.A. : Consumer & Home Office : EOS 6D |publisher=Canon.com |date=2014-05-26 |access-date=2017-05-09 |archive-date=11 August 2016 |archive-url=https://web.archive.org/web/20160811045447/https://www.usa.canon.com/internet/portal/us/home/products/details/cameras/dslr/eos-6d |url-status=dead }}</ref>"
Canon EOS 60Da,Canon,2012,https://en.wikipedia.org/wiki/Canon_EOS_60Da,2025-08-27T22:49:34.745100,2012,,,,,,,,
Canon EOS 650D,Canon,2012,https://en.wikipedia.org/wiki/Canon_EOS_650D,2025-08-27T22:49:34.745103,2012,,,,,,,,
Canon EOS M,Canon,2012,https://en.wikipedia.org/wiki/Canon_EOS_M,2025-08-27T22:49:34.745106,2012,,CMOS,5184&nbsp;x 3456 (18 megapixels),{{convert|262|g|lb|abbr=on}},,,,
Canon EOS-1D X,Canon,2012,https://en.wikipedia.org/wiki/Canon_EOS-1D_X,2025-08-27T22:49:34.745109,2012,,[[CMOS]],5184 x 3456 (18.1 effective [[megapixel]]s),{{Cvt|1340|g|lb}},March 2012,100 – 51200 in 1/3 stops (expandable from L: 50 to H1: 102400; H2: 204800),,"[[United States dollar|USD]] 6,799.00"
Canon PowerShot G1 X,Canon,2012,https://en.wikipedia.org/wiki/Canon_PowerShot_G1_X,2025-08-27T22:49:34.745111,2012,,CMOS,4352 × 3264 (14 megapixels),534g including battery,<!-- Release date -->,100-12800,,
Canon PowerShot S110,Canon,2012,https://en.wikipedia.org/wiki/Canon_PowerShot_S110,2025-08-27T22:49:34.745114,2012,,"[[Image sensor format|1/1,7""]] [[Active pixel sensor|CMOS]] (7.4 x 5.6 mm)",4000 × 3000 (12.1 megapixels),{{convert|173|g|abbr=on}} excluding battery,,"Auto, ISO 80–6400 (in 1/3-step increments)",,US$399.99
Canon PowerShot SX50 HS,Canon,2012,https://en.wikipedia.org/wiki/Canon_PowerShot_SX50_HS,2025-08-27T22:49:34.745116,2012,,"(1/2.3"" CMOS)",4000 × 3000 12.1 Megapixel,{{convert|551|g|lb|abbr=on}},October 2012,"80 to 6,400",,~$600 (New)
Fujifilm FinePix HS30EXR,Fujifilm,2012,https://en.wikipedia.org/wiki/Fujifilm_FinePix_HS30EXR,2025-08-27T22:49:34.745119,2012,,EXR CMOS,4608 x 3456 (16 megapixels),,<!-- Release date -->,100-12800,,
Fujifilm X-E1,Fujifilm,2012,https://en.wikipedia.org/wiki/Fujifilm_X-E1,2025-08-27T22:49:34.745121,2012,,CMOS,"4896 × 3264 (16.3 megapixels)<ref>X-E1 Owner's Manual, page 114</ref>",350g including battery,<!-- Release date -->,100-25600,,
